Sorghum bicolor	Brachypodium distachyon	Oryza sativa	Panicum virgatum	Setaria italica	Zea mays	
Sobic.001G000100	Bradi2g42460		Pavir.4KG278600, Pavir.4KG276600	Seita.9G000900	GRMZM2G007948
Sobic.001G020600	Bradi1g02450	LOC_Os03g62170	Pavir.8KG218200, Pavir.9NG198200	Seita.9G020000	GRMZM2G167428
Sobic.001G020700	Bradi1g02460	LOC_Os03g62160	Pavir.8KG218400, Pavir.9NG198300	Seita.9G020200	GRMZM2G051675
Sobic.001G020800					
Sobic.001G020900	Bradi1g02465	LOC_Os03g62150	Pavir.9NG198400, Pavir.J575100		
Sobic.001G021000	Bradi1g02490	LOC_Os03g62110	Pavir.9NG198500, Pavir.8KG218800	Seita.9G020500	GRMZM5G862488
Sobic.001G021100		LOC_Os11g14130		Seita.4G094500, Seita.4G094600	GRMZM2G159766
Sobic.001G021200					
Sobic.001G021300	Bradi2g45070	LOC_Os02g32030, LOC_Os04g02820	Pavir.5NG490100, Pavir.7NG380600	Seita.1G174800, Seita.5G313000, Seita.J022400	AC203173.3_FGP004, GRMZM2G113250, GRMZM2G040369, GRMZM2G095851
Sobic.001G021400	Bradi2g45070	LOC_Os02g32030, LOC_Os04g02820	Pavir.5NG490100, Pavir.7NG380600	Seita.1G174800, Seita.5G313000, Seita.J022400	AC203173.3_FGP004, GRMZM2G113250, GRMZM2G040369, GRMZM2G095851
Sobic.001G021500			Pavir.8KG218900, Pavir.9NG198600	Seita.9G020600	GRMZM2G113137
Sobic.001G021601					
Sobic.001G021700		LOC_Os05g12770, LOC_Os03g48370			
Sobic.001G021800	Bradi1g02517		Pavir.8KG219000, Pavir.9NG198800	Seita.9G020700	
Sobic.001G021900					GRMZM2G125552
Sobic.001G022000					GRMZM2G125552
Sobic.001G022100			Pavir.8KG219300, Pavir.9NG199100	Seita.9G021000	
Sobic.001G022200		LOC_Os03g62020	Pavir.8KG219400, Pavir.9NG199200	Seita.9G021100	AC202974.3_FGP004
Sobic.001G022300	Bradi3g48870	LOC_Os02g40490	Pavir.1NG350500, Pavir.1KG385100, Pavir.3KG551800, Pavir.3NG278900	Seita.1G235900, Seita.3G389500	GRMZM2G125784
Sobic.001G022400	Bradi1g02560	LOC_Os03g62010	Pavir.8KG219500, Pavir.9NG199300	Seita.9G021200	GRMZM2G455769
Sobic.001G022500	Bradi3g49150	LOC_Os02g41470	Pavir.J456900, Pavir.9KG275600, Pavir.4KG113100, Pavir.4NG174500	Seita.9G164300	GRMZM2G164852, GRMZM2G155899, GRMZM2G118062
Sobic.001G022600	Bradi1g02570	LOC_Os03g61990			GRMZM5G874478
Sobic.001G022700	Bradi1g02575	LOC_Os03g61980	Pavir.8KG219800, Pavir.J262200	Seita.9G021400	GRMZM2G168016
Sobic.001G022800	Bradi1g02580	LOC_Os03g61970			GRMZM2G053299
Sobic.001G022900	Bradi1g02590	LOC_Os03g61960	Pavir.9NG199700, Pavir.7KG189000	Seita.9G021700	
Sobic.001G023000	Bradi1g02610	LOC_Os03g61950	Pavir.9NG199900	Seita.9G026300	GRMZM2G351160
Sobic.001G023100	Bradi1g02597	LOC_Os03g61930	Pavir.9NG200000	Seita.9G026200	GRMZM2G053803
Sobic.001G023200	Bradi1g02630	LOC_Os03g61920	Pavir.9NG200100	Seita.9G026100	GRMZM2G053916
Sobic.001G023300	Bradi1g02635	LOC_Os03g61900	Pavir.J597400, Pavir.9NG200400	Seita.9G025900	GRMZM2G326235, GRMZM2G366681
Sobic.001G023400	Bradi1g02680	LOC_Os03g61890	Pavir.9NG200700, Pavir.3KG422000	Seita.9G025800	GRMZM2G326272, GRMZM2G448523
Sobic.001G023500	Bradi1g02980, Bradi5g12976	LOC_Os03g61620	Pavir.9NG200800, Pavir.9NG201800	Seita.9G025500	GRMZM2G058089, GRMZM2G004092
Sobic.001G023600	Bradi3g06880, Bradi1g35840	LOC_Os06g41590	Pavir.1NG054700, Pavir.1KG101000	Seita.1G051800	GRMZM2G064268
Sobic.001G023700	Bradi1g03000	LOC_Os03g61590	Pavir.9NG202000, Pavir.9NG200900	Seita.9G025400	GRMZM2G058075
Sobic.001G023800	Bradi1g03010	LOC_Os03g61580	Pavir.9NG201000, Pavir.9NG202100	Seita.9G025300	GRMZM2G004140, GRMZM2G057973
Sobic.001G023900	Bradi1g03020, Bradi2g62660	LOC_Os01g74540			GRMZM2G114775
Sobic.001G024000	Bradi1g03030	LOC_Os03g61560	Pavir.9NG201200, Pavir.9NG202300	Seita.9G025100	GRMZM2G114692
Sobic.001G024100	Bradi1g03040	LOC_Os03g61550	Pavir.J368800, Pavir.9NG202400	Seita.9G025000	GRMZM2G114673
Sobic.001G024200	Bradi1g03050	LOC_Os03g61540	Pavir.9NG201600, Pavir.9NG202600, Pavir.9KG375900	Seita.9G024900	GRMZM2G023049
Sobic.001G024250			Pavir.9NG202700		GRMZM2G025311
Sobic.001G024300	Bradi1g03056	LOC_Os03g61530	Pavir.9NG020500, Pavir.9KG375800, Pavir.9NG202800	Seita.9G024800	GRMZM2G369432
Sobic.001G024400	Bradi1g03070	LOC_Os03g61510	Pavir.9KG375700, Pavir.9NG202900, Pavir.9NG020700	Seita.9G024700	GRMZM2G451028
Sobic.001G024500	Bradi1g03090	LOC_Os03g61440, LOC_Os06g15590, LOC_Os03g61480, LOC_Os03g61470, LOC_Os03g61500	Pavir.9NG203100, Pavir.9NG020800	Seita.9G024600, Seita.4G003800, Seita.9G052900, Seita.9G053100	GRMZM2G325477, GRMZM2G023081, GRMZM2G119755
Sobic.001G024700	Bradi1g03090	LOC_Os03g61440, LOC_Os06g15590, LOC_Os03g61480, LOC_Os03g61470, LOC_Os03g61500	Pavir.9NG203100, Pavir.9NG020800	Seita.9G024600, Seita.4G003800, Seita.9G052900, Seita.9G053100	GRMZM2G053387
Sobic.001G024800	Bradi1g03090	LOC_Os03g61440, LOC_Os06g15590, LOC_Os03g61480, LOC_Os03g61470, LOC_Os03g61500	Pavir.9NG203100, Pavir.9NG020800	Seita.9G024600, Seita.4G003800, Seita.9G052900, Seita.9G053100	GRMZM2G053387
Sobic.001G024900	Bradi1g03100	LOC_Os03g61410	Pavir.9NG203200	Seita.9G024500, Seita.9G052800	GRMZM2G458349
Sobic.001G025000	Bradi1g59920, Bradi1g59940, Bradi4g07831	LOC_Os04g25550, LOC_Os12g26030	Pavir.7KG015200, Pavir.1NG176600, Pavir.5KG738800	Seita.7G051100, Seita.3G313400	GRMZM5G806358
Sobic.001G025101	Bradi4g10397, Bradi3g56690, Bradi1g03110	LOC_Os03g61360	Pavir.9NG203400, Pavir.9NG020900	Seita.9G024200, Seita.9G024300	GRMZM2G133481
Sobic.001G025201		LOC_Os10g14870, LOC_Os10g30430	Pavir.3KG298200, Pavir.7NG343600, Pavir.9NG021000, Pavir.9NG203500	Seita.9G024400	AC186166.3_FGP008
Sobic.001G025300	Bradi1g03120	LOC_Os03g61340	Pavir.9NG203600, Pavir.9NG021100	Seita.9G024000	GRMZM2G156459
Sobic.001G025400	Bradi1g14790, Bradi1g03130	LOC_Os03g61330			GRMZM2G156516
Sobic.001G025500		LOC_Os07g14270			
Sobic.001G025600	Bradi1g02930	LOC_Os03g61680	Pavir.9NG203900, Pavir.J740400	Seita.9G023600	GRMZM2G426181, GRMZM2G110066, GRMZM2G079754
Sobic.001G025700	Bradi1g02920	LOC_Os03g61690	Pavir.J740700, Pavir.J740300	Seita.9G023500	GRMZM2G156543
Sobic.001G025800	Bradi1g51700	LOC_Os06g02200	Pavir.4KG005500, Pavir.4NG009300	Seita.4G008500	GRMZM2G103078
Sobic.001G025900	Bradi1g02910	LOC_Os03g61700	Pavir.J740800, Pavir.9NG021300	Seita.9G023400	GRMZM2G360097, GRMZM2G458533
Sobic.001G026000	Bradi1g02810	LOC_Os03g61710	Pavir.9NG021400, Pavir.J740900	Seita.9G023300	GRMZM2G458549
Sobic.001G026100	Bradi1g02805	LOC_Os01g22560, LOC_Os03g61720, LOC_Os01g22570	Pavir.9NG021500, Pavir.8NG170200, Pavir.J741000	Seita.9G023200	GRMZM2G156729
Sobic.001G026200	Bradi1g02800	LOC_Os03g61730	Pavir.J741100, Pavir.9NG021600	Seita.9G023100	GRMZM2G138511
Sobic.001G026300	Bradi1g02790	LOC_Os03g61740	Pavir.9NG450800, Pavir.8NG101900	Seita.9G023000	GRMZM2G156739
Sobic.001G026400	Bradi1g02780	LOC_Os03g61750	Pavir.J062700	Seita.9G022900	GRMZM2G138494
Sobic.001G026500	Bradi1g02760	LOC_Os03g61760	Pavir.J062800	Seita.9G022800	GRMZM2G138421, GRMZM2G156756
Sobic.001G026600					
Sobic.001G026700	Bradi1g02750	LOC_Os03g61780	Pavir.9NG021700, Pavir.9NG024400	Seita.9G022700	GRMZM2G100524
Sobic.001G026800	Bradi1g02720	LOC_Os03g61800	Pavir.9NG021900	Seita.9G022500	GRMZM5G882418
Sobic.001G026900	Bradi1g53437, Bradi1g02710	LOC_Os03g61810			GRMZM5G840909
Sobic.001G026950				Seita.9G573500, Seita.9G015900, Seita.9G013600	
Sobic.001G027000	Bradi1g56010	LOC_Os07g07670	Pavir.2KG059400, Pavir.2NG052200	Seita.2G048000	GRMZM2G469477, GRMZM2G027695
Sobic.001G027100	Bradi1g02697		Pavir.9NG022200, Pavir.9NG827400, Pavir.9NG024700	Seita.9G022200	GRMZM2G398668
Sobic.001G027200			Pavir.9NG520300, Pavir.9NG081300, Pavir.5KG663100, Pavir.9NG022400	Seita.9G066400	GRMZM2G541399, GRMZM2G417287
Sobic.001G027300	Bradi1g02690	LOC_Os03g61829	Pavir.9NG022300	Seita.9G022100	AC191575.2_FGP001
Sobic.001G027400			Pavir.9NG520300, Pavir.9NG081300, Pavir.5KG663100, Pavir.9NG022400	Seita.9G066400	GRMZM2G541399, GRMZM2G417287
Sobic.001G027500					
Sobic.001G027600	Bradi1g03220	LOC_Os03g61260	Pavir.9NG024900, Pavir.9NG827200, Pavir.9NG022500	Seita.9G022000	GRMZM2G142097
Sobic.001G027700			Pavir.4KG227600, Pavir.4NG090800	Seita.4G080100	
Sobic.001G027800	Bradi1g03207	LOC_Os03g61280, LOC_Os03g61270	Pavir.9NG826600, Pavir.9NG025200, Pavir.9NG022600	Seita.9G021900	GRMZM2G340257
Sobic.001G027900	Bradi1g03200	LOC_Os03g61290	Pavir.9NG022700	Seita.9G026800	
Sobic.001G028000	Bradi1g03191, Bradi1g03185	LOC_Os03g61240	Pavir.9NG025400, Pavir.9NG826800, Pavir.9NG022900	Seita.9G027000	GRMZM5G860632
Sobic.001G028100	Bradi1g03180	LOC_Os03g61220	Pavir.9NG827000, Pavir.9NG025600	Seita.9G027200	GRMZM2G415491, AC198418.3_FGP005
Sobic.001G028200	Bradi1g44495, Bradi3g00980	LOC_Os03g53220, LOC_Os02g01740	Pavir.1KG007800, Pavir.1NG004400	Seita.1G005500	GRMZM2G026991
Sobic.001G028301		LOC_Os05g22740	Pavir.7NG073000, Pavir.4KG258000		
Sobic.001G028400	Bradi1g03170	LOC_Os03g61210	Pavir.9NG023000, Pavir.9NG826500, Pavir.9NG026400	Seita.9G027300	GRMZM2G100419, GRMZM2G122045
Sobic.001G028500	Bradi1g03160	LOC_Os03g61200	Pavir.9NG826400, Pavir.9NG026300, Pavir.9NG023100	Seita.9G027400	GRMZM2G122108
Sobic.001G028600	Bradi3g28836	LOC_Os03g61160	Pavir.9NG026200, Pavir.9NG826300, Pavir.9NG023200	Seita.9G027500	GRMZM2G100495
Sobic.001G028700	Bradi1g03290, Bradi1g03150	LOC_Os03g61140	Pavir.9NG826200, Pavir.9NG026100, Pavir.9NG023300	Seita.9G027600	GRMZM2G122148
Sobic.001G028800	Bradi3g07980		Pavir.9NG826100, Pavir.9NG025800, Pavir.9NG023500	Seita.9G027700	
Sobic.001G028900	Bradi2g62122, Bradi1g24421, Bradi1g19332, Bradi2g17140, Bradi1g22390, Bradi1g41660, Bradi1g46820, Bradi3g18775, Bradi2g24252, Bradi5g14511			Seita.3G234400, Seita.8G193800, Seita.9G279500, Seita.2G137600	
Sobic.001G029000		LOC_Os11g14130		Seita.4G094500, Seita.4G094600	GRMZM2G159766
Sobic.001G029100	Bradi1g78660	ChrSy.fgenesh.mRNA.86	Pavir.2NG602400, Pavir.2KG538800	Seita.7G331300	GRMZM2G139123
Sobic.001G029200	Bradi1g03250	LOC_Os03g61130	Pavir.9NG023600, Pavir.9NG025700, Pavir.9NG826000	Seita.9G027800	GRMZM2G139041
Sobic.001G029300	Bradi1g03260	LOC_Os03g61120	Pavir.9NG026600	Seita.9G028000	GRMZM2G003109
Sobic.001G029400	Bradi1g03270	LOC_Os03g61110	Pavir.9NG023800, Pavir.9NG026700	Seita.9G028100	GRMZM2G123876
Sobic.001G029500	Bradi1g03350	LOC_Os03g61100	Pavir.9NG026900, Pavir.9KG348900	Seita.9G028200	GRMZM2G081105
Sobic.001G029600	Bradi1g03340	LOC_Os03g61090	Pavir.9NG027000, Pavir.9KG349000	Seita.9G028300	GRMZM2G081114
Sobic.001G029700	Bradi1g03330		Pavir.3KG276200, Pavir.9NG027100, Pavir.9KG349300	Seita.9G028400	GRMZM2G120421, GRMZM2G121663
Sobic.001G029800			Pavir.5KG249700, Pavir.5NG293800	Seita.5G176600	GRMZM2G120440
Sobic.001G029900	Bradi1g03367	LOC_Os03g61060	Pavir.3KG276100, Pavir.9NG027300	Seita.9G028500	GRMZM2G121715
Sobic.001G030000	Bradi1g03380	LOC_Os03g61050	Pavir.3KG276000, Pavir.9NG027400	Seita.9G028600	GRMZM2G479744
Sobic.001G030100	Bradi1g03392	LOC_Os03g61040	Pavir.3KG275700, Pavir.J521200	Seita.9G028700	GRMZM2G425778
Sobic.001G030200	Bradi1g03400	LOC_Os03g61030	Pavir.9NG027500, Pavir.3KG275600	Seita.9G028800	GRMZM2G156937
Sobic.001G030300	Bradi1g03410	LOC_Os03g61019	Pavir.2NG107700, Pavir.2KG141200, Pavir.9NG027600, Pavir.3KG275500	Seita.9G028900	GRMZM2G121743, GRMZM2G156848
Sobic.001G030400	Bradi1g03420	LOC_Os03g61010	Pavir.3KG275400, Pavir.9NG027700	Seita.9G029000	GRMZM2G177445, GRMZM2G121826
Sobic.001G030500	Bradi2g19780	LOC_Os03g60960	Pavir.3KG275300	Seita.9G029400, Seita.9G029300, Seita.9G029500, Seita.9G029200	
Sobic.001G030600	Bradi2g19780	LOC_Os03g60960	Pavir.3KG275300	Seita.9G029400, Seita.9G029300, Seita.9G029500, Seita.9G029200	
Sobic.001G030800		LOC_Os03g61319, LOC_Os03g61249, LOC_Os03g62440, LOC_Os03g62470	Pavir.9NG279500, Pavir.6KG117300, Pavir.9NG279700, Pavir.5NG394500, Pavir.6NG293600, Pavir.9NG581800, Pavir.1NG084600, Pavir.9NG002200, Pavir.3KG274900, Pavir.9NG028000, Pavir.3KG275100, Pavir.9NG027800	Seita.2G346400, Seita.9G025700, Seita.9G018200, Seita.9G017800, Seita.9G029700	AC206825.3_FGP007, GRMZM2G317853, AC191279.2_FGP003, GRMZM2G326663, AC187843.3_FGP010, AC187843.3_FGP001, GRMZM5G858524, AC194273.3_FGP006, AC191708.3_FGP002, AC191708.3_FGP001, AC194273.3_FGP007, GRMZM2G445942, GRMZM2G474252, GRMZM2G362996, GRMZM2G179610, GRMZM2G060735, GRMZM2G137518, GRMZM5G834566, GRMZM2G007817, GRMZM2G177490, GRMZM2G304190, GRMZM2G438080, AC206825.3_FGP006, AC191279.2_FGP001, AC197364.3_FGP007
Sobic.001G030900	Bradi2g19780	LOC_Os03g60960	Pavir.3KG275300	Seita.9G029400, Seita.9G029300, Seita.9G029500, Seita.9G029200	
Sobic.001G031000		LOC_Os03g61319, LOC_Os03g61249, LOC_Os03g62440, LOC_Os03g62470	Pavir.9NG279500, Pavir.6KG117300, Pavir.9NG279700, Pavir.5NG394500, Pavir.6NG293600, Pavir.9NG581800, Pavir.1NG084600, Pavir.9NG002200, Pavir.3KG274900, Pavir.9NG028000, Pavir.3KG275100, Pavir.9NG027800	Seita.2G346400, Seita.9G025700, Seita.9G018200, Seita.9G017800, Seita.9G029700	AC206825.3_FGP007, GRMZM2G317853, AC191279.2_FGP003, GRMZM2G326663, AC187843.3_FGP010, AC187843.3_FGP001, GRMZM5G858524, AC194273.3_FGP006, AC191708.3_FGP002, AC191708.3_FGP001, AC194273.3_FGP007, GRMZM2G445942, GRMZM2G474252, GRMZM2G362996, GRMZM2G179610, GRMZM2G060735, GRMZM2G137518, GRMZM5G834566, GRMZM2G007817, GRMZM2G177490, GRMZM2G304190, GRMZM2G438080, AC206825.3_FGP006, AC191279.2_FGP001, AC197364.3_FGP007
Sobic.001G031100	Bradi2g19800	LOC_Os03g60939	Pavir.9NG002300, Pavir.3KG275000, Pavir.9NG027900, Pavir.1NG084500, Pavir.9NG279600	Seita.9G029800, Seita.9G018100	GRMZM2G366688, GRMZM6G073656
Sobic.001G031200	Bradi1g03440	LOC_Os03g60920	Pavir.9NG028100, Pavir.3KG274800	Seita.9G029900	GRMZM2G121840
Sobic.001G031300	Bradi1g03450	LOC_Os03g60910	Pavir.9NG028200, Pavir.3KG274700	Seita.9G030000	GRMZM2G122116
Sobic.001G031400	Bradi1g03460	LOC_Os03g60900, LOC_Os03g32150	Pavir.9NG028300, Pavir.3KG274600, Pavir.9NG002800	Seita.9G030100	GRMZM2G121843, GRMZM2G405185
Sobic.001G031500					
Sobic.001G031600	Bradi1g03470	LOC_Os03g32160	Pavir.3KG274500, Pavir.9NG028400, Pavir.9NG003000	Seita.9G030200	GRMZM2G121851
Sobic.001G031700	Bradi1g03480	LOC_Os03g60880	Pavir.9NG032200	Seita.9G030300	GRMZM2G045781
Sobic.001G031800	Bradi5g03950	LOC_Os08g01859, LOC_Os06g23210	Pavir.7KG048100	Seita.7G029800, Seita.3G114600	GRMZM2G085336, GRMZM2G045921
Sobic.001G031900	Bradi1g03490	LOC_Os03g60870	Pavir.9NG032300, Pavir.9NG028600	Seita.9G030400	GRMZM2G473906
Sobic.001G032000	Bradi1g03500	LOC_Os03g60850, LOC_Os01g28980	Pavir.9KG053000, Pavir.9NG028700, Pavir.9NG032500	Seita.9G030500	GRMZM2G055834, GRMZM2G143998
Sobic.001G032100	Bradi1g03510	LOC_Os03g60840	Pavir.9NG028900	Seita.9G030600	GRMZM2G055802
Sobic.001G032200	Bradi1g03530	LOC_Os03g60820	Pavir.9NG029400, Pavir.9NG032900	Seita.9G030800	GRMZM2G085301
Sobic.001G032300	Bradi1g03537	LOC_Os03g60810	Pavir.9NG029500, Pavir.9NG033000	Seita.9G031000	GRMZM2G093246
Sobic.001G032400	Bradi1g03537	LOC_Os03g60810	Pavir.9NG033100, Pavir.9NG029800	Seita.9G031100	GRMZM2G093210
Sobic.001G032550					
Sobic.001G032700	Bradi1g03580	LOC_Os03g60790	Pavir.9NG030300, Pavir.9NG033200	Seita.9G031300	
Sobic.001G032800	Bradi1g03590	LOC_Os03g60780	Pavir.9NG030400	Seita.9G031400	GRMZM2G459811
Sobic.001G032850					
Sobic.001G032900	Bradi1g03595	LOC_Os08g41980, LOC_Os03g60760	Pavir.9NG030500, Pavir.9NG033400	Seita.9G031500	GRMZM2G144024
Sobic.001G033000	Bradi1g03600	LOC_Os03g60750	Pavir.9NG033500, Pavir.9NG030700, Pavir.5NG331600	Seita.9G031600	GRMZM2G068443
Sobic.001G033100	Bradi1g03610	LOC_Os03g60740	Pavir.9NG030800, Pavir.5NG331500, Pavir.9NG033600	Seita.9G031700	GRMZM2G068244
Sobic.001G033200	Bradi1g03620	LOC_Os04g50060	Pavir.5NG331400, Pavir.9NG030900, Pavir.9NG033700	Seita.9G031800	GRMZM2G368909
Sobic.001G033300	Bradi1g03640	LOC_Os03g60720	Pavir.9NG033800, Pavir.5NG331100	Seita.9G032400	GRMZM2G368886, GRMZM2G445169
Sobic.001G033400	Bradi1g03650	LOC_Os03g60710	Pavir.5NG331000, Pavir.9NG033900	Seita.9G032500	GRMZM2G144042, GRMZM2G068117
Sobic.001G033500	Bradi1g03660	LOC_Os03g60700	Pavir.9NG034100, Pavir.5NG330900	Seita.9G032600	GRMZM2G129620
Sobic.001G033600	Bradi1g03670	LOC_Os03g60690	Pavir.2KG035100, Pavir.2NG039000, Pavir.2NG071200	Seita.9G032700	GRMZM2G144071
Sobic.001G033701	Bradi1g03672	LOC_Os03g60660	Pavir.9NG034800, Pavir.6NG206200, Pavir.5NG330200, Pavir.9NG034300, Pavir.5NG330700	Seita.9G033100, Seita.9G032800	
Sobic.001G033800					
Sobic.001G033900		LOC_Os11g14130		Seita.4G094500, Seita.4G094600	GRMZM2G159766
Sobic.001G034000		LOC_Os11g14130		Seita.4G094500, Seita.4G094600	GRMZM2G159766
Sobic.001G034050					
Sobic.001G034100	Bradi1g03690	LOC_Os03g60650	Pavir.6NG206100, Pavir.5NG330100, Pavir.9NG035000	Seita.9G033200	GRMZM2G093776, GRMZM2G144109
Sobic.001G034200	Bradi2g54600, Bradi1g03700	LOC_Os05g38520		Seita.9G033300	
Sobic.001G034300	Bradi1g03710	LOC_Os03g60630, LOC_Os07g13260	Pavir.9NG035500, Pavir.6NG206000	Seita.9G033400	GRMZM2G017470
Sobic.001G034400					
Sobic.001G034500	Bradi1g03730	LOC_Os03g60610	Pavir.6NG205500, Pavir.9NG035800	Seita.9G033600	GRMZM2G148370, GRMZM2G003108
Sobic.001G034600	Bradi1g03737	LOC_Os03g60600	Pavir.9NG035900, Pavir.6NG205400	Seita.9G033800	GRMZM2G003068, GRMZM2G012280
Sobic.001G034700	Bradi1g03750		Pavir.9NG036000, Pavir.6NG205300, Pavir.5NG329900	Seita.9G033900	GRMZM2G060702, GRMZM2G002825
Sobic.001G034900	Bradi1g03760	LOC_Os03g60580	Pavir.9NG036200, Pavir.5NG329800, Pavir.6NG205200	Seita.9G034000	
Sobic.001G035000	Bradi1g03770, Bradi1g03780	LOC_Os03g60570	Pavir.6NG205100, Pavir.5NG329700, Pavir.9NG036400	Seita.9G034100	GRMZM2G002815, GRMZM2G361210
Sobic.001G035100	Bradi1g03790	LOC_Os03g60560	Pavir.9NG036500, Pavir.6NG205000, Pavir.5NG329600	Seita.9G034200	GRMZM2G385575, GRMZM2G002805, GRMZM2G061626
Sobic.001G035200	Bradi1g03800	LOC_Os03g60550	Pavir.5NG329300, Pavir.9NG036600	Seita.9G034300	GRMZM2G061662, GRMZM2G002765
Sobic.001G035300	Bradi1g03810	LOC_Os03g60540	Pavir.5NG329200, Pavir.9NG036700	Seita.9G034400	GRMZM2G061897
Sobic.001G035400	Bradi1g03820	LOC_Os07g13530	Pavir.9NG036800, Pavir.5NG329100	Seita.9G034500	GRMZM2G061900
Sobic.001G035450	Bradi3g14200	LOC_Os08g03400			
Sobic.001G035500	Bradi1g03827	LOC_Os03g60520	Pavir.9NG036900, Pavir.5NG329000	Seita.9G034600	GRMZM2G017682, GRMZM2G155317
Sobic.001G035600	Bradi1g03840		Pavir.5NG328900, Pavir.9NG037000	Seita.9G034700	GRMZM2G119186, GRMZM2G155329
Sobic.001G035700					
Sobic.001G035800	Bradi1g03850	LOC_Os03g60480	Pavir.9NG037100, Pavir.5NG328800	Seita.9G034900	GRMZM2G087101, GRMZM2G155525, GRMZM2G160064
Sobic.001G035900	Bradi5g05921	LOC_Os04g28170	Pavir.7KG006200, Pavir.7NG081300	Seita.7G057800	GRMZM2G022107
Sobic.001G036050	Bradi1g55216	LOC_Os01g50690	Pavir.5KG495900, Pavir.6NG044300, Pavir.5NG448100	Seita.5G000400, Seita.5G285800	GRMZM2G457467, GRMZM2G458266
Sobic.001G036200	Bradi1g03853	LOC_Os03g60470	Pavir.4KG056100, Pavir.9NG037200	Seita.9G035300	GRMZM2G160027
Sobic.001G036300	Bradi1g03860	LOC_Os03g60460	Pavir.4KG056000, Pavir.9NG037300	Seita.9G035500	GRMZM2G155580
Sobic.001G036400	Bradi1g36560	LOC_Os06g40210	Pavir.4KG319900, Pavir.4NG186000	Seita.4G222200	GRMZM2G342738
Sobic.001G036600					
Sobic.001G036700			Pavir.J749700, Pavir.7NG018100	Seita.9G035700	
Sobic.001G036800	Bradi1g03880	LOC_Os03g60430	Pavir.7NG082800, Pavir.9NG037700	Seita.9G035800	GRMZM5G862109
Sobic.001G036900	Bradi2g54210	LOC_Os01g61814	Pavir.9NG037800	Seita.3G213400	GRMZM2G084465
Sobic.001G037000	Bradi1g03900	LOC_Os03g60390	Pavir.9NG031800, Pavir.9NG037900	Seita.9G036000	AC225147.4_FGP003
Sobic.001G037033					
Sobic.001G037066		LOC_Os05g51900			AC207537.3_FGP003
Sobic.001G037100	Bradi2g05242	LOC_Os01g08750	Pavir.J511600	Seita.3G125200	AC206259.3_FGP003, GRMZM2G409839
Sobic.001G037150					
Sobic.001G037200			Pavir.5NG563800		
Sobic.001G037300					
Sobic.001G037400	Bradi4g20174	LOC_Os11g19490	Pavir.8NG220400, Pavir.5KG015000	Seita.8G108000	AC235540.1_FGP002
Sobic.001G037500	Bradi4g19560	LOC_Os11g23790	Pavir.7KG429000, Pavir.7NG392100	Seita.3G023600	GRMZM2G079452
Sobic.001G037550					
Sobic.001G037600					
Sobic.001G037700			Pavir.7KG324200, Pavir.9KG632100, Pavir.9NG652900, Pavir.9KG632300, Pavir.5KG444800, Pavir.9KG632400, Pavir.9NG032000, Pavir.1KG426600, Pavir.9NG283300	Seita.9G038200, Seita.9G036400	
Sobic.001G037800	Bradi1g03910	LOC_Os03g60380	Pavir.9NG281200	Seita.9G038000	
Sobic.001G037900	Bradi1g03910	LOC_Os03g60380	Pavir.1KG426700	Seita.9G036600	GRMZM2G107076
Sobic.001G038000	Bradi1g03920	LOC_Os03g60370	Pavir.1KG426800	Seita.9G036700	GRMZM2G151967
Sobic.001G038050					
Sobic.001G038100	Bradi1g03930	LOC_Os03g60360	Pavir.1KG426900, Pavir.9NG038300	Seita.9G036800	GRMZM2G151873, GRMZM2G165209
Sobic.001G038200	Bradi1g03940	LOC_Os03g60350	Pavir.9NG038400, Pavir.1KG427000	Seita.9G036900	GRMZM5G826911
Sobic.001G038300	Bradi1g03947	LOC_Os03g60340	Pavir.9NG038600, Pavir.1KG427300	Seita.9G037000	GRMZM2G139250
Sobic.001G038400	Bradi1g03972	LOC_Os03g60300	Pavir.9NG038800, Pavir.9NG038700, Pavir.1KG427600	Seita.9G037100	GRMZM2G406974
Sobic.001G038450					
Sobic.001G038500	Bradi1g03980	LOC_Os03g60260	Pavir.9NG039000		
Sobic.001G038601					
Sobic.001G038700		LOC_Os03g60250	Pavir.1KG427800, Pavir.9NG039100	Seita.9G037300	GRMZM2G165255
Sobic.001G038800	Bradi1g04000	LOC_Os03g60240	Pavir.1KG427900, Pavir.9NG039200	Seita.9G037400	GRMZM2G450920
Sobic.001G038900	Bradi1g04010	LOC_Os03g60220	Pavir.9NG039300, Pavir.1KG428000	Seita.9G037500	GRMZM2G151997
Sobic.001G039000		LOC_Os03g60210	Pavir.1KG428100	Seita.9G037600	
Sobic.001G039100	Bradi1g04030	LOC_Os03g60190	Pavir.9NG281500, Pavir.1KG428200, Pavir.9NG283700	Seita.9G037700	GRMZM2G165270
Sobic.001G039200	Bradi1g04040		Pavir.9NG283600, Pavir.9NG281400, Pavir.1KG428300	Seita.9G037800	GRMZM2G450960
Sobic.001G039300	Bradi1g04060	LOC_Os03g60180	Pavir.9NG283500, Pavir.1KG428400, Pavir.9NG281300	Seita.9G037900	GRMZM2G031523
Sobic.001G039400	Bradi1g04070	LOC_Os01g60790	Pavir.9NG281100, Pavir.1KG428600, Pavir.9NG283200	Seita.9G038300	GRMZM2G129015, GRMZM5G899149
